STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CZ,Czechia,2025,,13257,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2016,,17578,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2017,,18101,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2018,,19276,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2019,,19521,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2020,,24020,,b,break in time series,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2021,,22677,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2022,,22514,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2023,,23687,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2024,,24630,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DE,Germany,2025,,25275,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2016,,29457,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2017,,28743,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2018,,30684,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2019,,32748,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2020,,30093,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2021,,31276,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2022,,34441,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2023,,34889,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2024,,34695,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,DK,Denmark,2025,,36189,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,,15057,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,,15637,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,,16149,,e,estimated,,
